Cell,HTAN_Biospecimen_ID,subtype
PleuralEffusion_122308430584045,HTA8_2001_1,SCLC-A
RU1066_231270811875060,HTA8_2003_1,SCLC-A
PleuralEffusion_169014021764982,HTA8_2001_1,SCLC-A
RU1065C_160999643466101,HTA8_2002_1,SCLC-A
RU779D_129574544553899,HTA8_2019_1,SCLC-N
RU1065C_166400385235355,HTA8_2002_1,SCLC-A
RU1065C_160372425448356,HTA8_2002_1,SCLC-A
RU1181C_160904080669478,HTA8_2010_1,SCLC-N
RU1181C_191139692538211,HTA8_2010_1,SCLC-N
RU1065C_226764298336566,HTA8_2002_1,SCLC-A
RU1066_239946779781861,HTA8_2003_1,SCLC-A
RU779D_200417895627563,HTA8_2019_1,SCLC-N
RU779D_204882379945844,HTA8_2019_1,SCLC-N
