Cell,HTAN_Biospecimen_ID,subtype
RU1195A_134946206955941,HTA8_2011_1,SCLC-A
PleuralEffusion_160928777005797,HTA8_2001_1,SCLC-A
RU779D_230612562242804,HTA8_2019_1,SCLC-N
PleuralEffusion_169795603086173,HTA8_2001_1,SCLC-A
PleuralEffusion_130142271039332,HTA8_2001_1,SCLC-A
RU1145_192101783889764,HTA8_2008_1,SCLC-A
RU1065C_195402179205339,HTA8_2002_1,SCLC-A
PleuralEffusion_227363567885084,HTA8_2001_1,SCLC-A
RU779D_235214365220196,HTA8_2019_1,SCLC-N
RU1229A_Frozen_200511149226782,HTA8_2013_1,SCLC-A
RU1311A_T_1_164759035931933,HTA8_2016_1,SCLC-A
RU1181C_156945416869726,HTA8_2010_1,SCLC-N
RU1144_LN_200563790068662,HTA8_2007_2,SCLC-A
RU426B_135066450553764,HTA8_2018_1,SCLC-A
RU779D_200570520091428,HTA8_2019_1,SCLC-N
RU1065C_165878592624364,HTA8_2002_1,SCLC-A
RU1065C_160218228381982,HTA8_2002_1,SCLC-A
RU1181C_205925117245163,HTA8_2010_1,SCLC-N
RU779D_134377538964765,HTA8_2019_1,SCLC-N
RU1144_LN_205392394275628,HTA8_2007_2,SCLC-A
RU426B_234992267029739,HTA8_2018_1,SCLC-A
RU1293A_135546816617691,HTA8_2015_1,SCLC-N
RU1065C_196019701634972,HTA8_2002_1,SCLC-A
RU1293A_226333594172828,HTA8_2015_1,SCLC-N
RU1229A_Frozen_204222315751731,HTA8_2013_1,SCLC-A
RU1065C_230601851788701,HTA8_2002_1,SCLC-A
RU779D_200502439697141,HTA8_2019_1,SCLC-N
RU1065C_160921528776436,HTA8_2002_1,SCLC-A
RU779D_121416401148662,HTA8_2019_1,SCLC-N
RU1080C_121322555230059,HTA8_2004_1,SCLC-A
RU779D_165258057594739,HTA8_2019_1,SCLC-N
RU1080C_130194884716853,HTA8_2004_1,SCLC-A
RU1065C_166428463545779,HTA8_2002_1,SCLC-A
RU1124A_LN_240489912821996,HTA8_2006_1,SCLC-A
RU1080C_130693100694828,HTA8_2004_1,SCLC-A
RU1065C_135005248076531,HTA8_2002_1,SCLC-A
RU779D_201119841335731,HTA8_2019_1,SCLC-N
RU1195A_231281518045020,HTA8_2011_1,SCLC-A
RU1080C_165180748024566,HTA8_2004_1,SCLC-A
RU1080C_235128497527709,HTA8_2004_1,SCLC-A
RU1065C_166477693902252,HTA8_2002_1,SCLC-A
RU1124A_LN_169081786223988,HTA8_2006_1,SCLC-A
RU779D_204911343164851,HTA8_2019_1,SCLC-N
RU1144_T_157684151016372,HTA8_2007_1,SCLC-A
RU1144_LN_240001509156636,HTA8_2007_2,SCLC-A
PleuralEffusion_129497400990563,HTA8_2001_1,SCLC-A
RU1195A_204840342349547,HTA8_2011_1,SCLC-A
RU1080C_160920033777907,HTA8_2004_1,SCLC-A
RU1195A_192747055999395,HTA8_2011_1,SCLC-A
RU1065C_197074397874413,HTA8_2002_1,SCLC-A
RU1065C_231281548744940,HTA8_2002_1,SCLC-A
RU779D_196114190822699,HTA8_2019_1,SCLC-N
PleuralEffusion_200994199391453,HTA8_2001_1,SCLC-A
RU779D_197185817439156,HTA8_2019_1,SCLC-N
RU1231A_133896520751838,HTA8_2014_1,SCLC-N
RU779D_166480155888484,HTA8_2019_1,SCLC-N
RU779D_134590797633252,HTA8_2019_1,SCLC-N
RU779D_165713620355317,HTA8_2019_1,SCLC-N
RU1229A_Frozen_131223690796316,HTA8_2013_1,SCLC-A
PleuralEffusion_155972653501350,HTA8_2001_1,SCLC-A
RU1195A_162078857521004,HTA8_2011_1,SCLC-A
RU1080C_205441818020654,HTA8_2004_1,SCLC-A
RU1144_LN_239587835406772,HTA8_2007_2,SCLC-A
RU779D_120726924716453,HTA8_2019_1,SCLC-N
RU1195A_129454182391091,HTA8_2011_1,SCLC-A
RU1124A_LN_130050212412710,HTA8_2006_1,SCLC-A
RU1065C_170740610459429,HTA8_2002_1,SCLC-A
RU1195A_230681415935853,HTA8_2011_1,SCLC-A
RU1065C_134533218252726,HTA8_2002_1,SCLC-A
RU1065C_125102575283037,HTA8_2002_1,SCLC-A
RU779D_160999597893406,HTA8_2019_1,SCLC-N
RU1144_LN_231340558739891,HTA8_2007_2,SCLC-A
RU779D_130693146466612,HTA8_2019_1,SCLC-N
RU1065C_134540451497838,HTA8_2002_1,SCLC-A
RU1065C_200968877562653,HTA8_2002_1,SCLC-A
RU1195A_135022695831390,HTA8_2011_1,SCLC-A
PleuralEffusion_236176841268638,HTA8_2001_1,SCLC-A
RU1065C_170139153459630,HTA8_2002_1,SCLC-A
RU1229A_Frozen_135023501170468,HTA8_2013_1,SCLC-A
PleuralEffusion_125239700113332,HTA8_2001_1,SCLC-A
RU779D_240550862047019,HTA8_2019_1,SCLC-N
RU1065C_235686959140252,HTA8_2002_1,SCLC-A
PleuralEffusion_240161213331299,HTA8_2001_1,SCLC-A
RU1311A_T_1_166477693905651,HTA8_2016_1,SCLC-A
PleuralEffusion_191756797916974,HTA8_2001_1,SCLC-A
RU1065C_195488050462115,HTA8_2002_1,SCLC-A
RU1065C_134945386654492,HTA8_2002_1,SCLC-A
RU1124A_LN_192747083848947,HTA8_2006_1,SCLC-A
RU426B_230609221171429,HTA8_2018_1,SCLC-A
RU1181C_192307002521829,HTA8_2010_1,SCLC-N
RU1144_LN_232318649941294,HTA8_2007_2,SCLC-A
RU1124A_LN_191166508911532,HTA8_2006_1,SCLC-A
RU1066_205870221708083,HTA8_2003_1,SCLC-A
RU1080C_166400384490917,HTA8_2004_1,SCLC-A
RU1066_129565699263715,HTA8_2003_1,SCLC-A
RU1080C_129574576445357,HTA8_2004_1,SCLC-A
RU1065C_170677501095333,HTA8_2002_1,SCLC-A
RU1145_166290909748571,HTA8_2008_1,SCLC-A
PleuralEffusion_200561495336883,HTA8_2001_1,SCLC-A
RU1195A_192110461905309,HTA8_2011_1,SCLC-A
RU1065C_230604105693982,HTA8_2002_1,SCLC-A
RU1144_LN_196638177089453,HTA8_2007_2,SCLC-A
RU1066_157613970545957,HTA8_2003_1,SCLC-A
RU779D_226401105145132,HTA8_2019_1,SCLC-N
RU1065C_236770351802678,HTA8_2002_1,SCLC-A
RU1195A_206061347727277,HTA8_2011_1,SCLC-A
RU1065C_191705273550773,HTA8_2002_1,SCLC-A
RU1152_134592140008163,HTA8_2009_1,SCLC-A
RU779D_165714278696876,HTA8_2019_1,SCLC-N
RU1065C_135022695573925,HTA8_2002_1,SCLC-A
RU779D_227509475690283,HTA8_2019_1,SCLC-N
RU1195A_199807089363379,HTA8_2011_1,SCLC-A
RU1293A_239451631643894,HTA8_2015_1,SCLC-N
RU1080C_165329193101110,HTA8_2004_1,SCLC-A
RU1124A_LN_226949805860702,HTA8_2006_1,SCLC-A
RU1195A_133896474843949,HTA8_2011_1,SCLC-A
RU1181C_195424727194470,HTA8_2010_1,SCLC-N
RU779D_165260117100342,HTA8_2019_1,SCLC-N
RU1152_232370457918188,HTA8_2009_1,SCLC-A
RU1066_197206084081381,HTA8_2003_1,SCLC-A
RU1124A_LN_161461187271004,HTA8_2006_1,SCLC-A
RU1144_T_130531413900534,HTA8_2007_1,SCLC-A
PleuralEffusion_125042414479196,HTA8_2001_1,SCLC-A
RU779D_135572183017309,HTA8_2019_1,SCLC-N
RU1215_165945521161957,HTA8_2012_1,SCLC-N
RU1195A_120788115646694,HTA8_2011_1,SCLC-A
RU1065C_200372650929438,HTA8_2002_1,SCLC-A
RU779D_169727120558822,HTA8_2019_1,SCLC-N
RU426B_240145122126180,HTA8_2018_1,SCLC-A
PleuralEffusion_135571511928604,HTA8_2001_1,SCLC-A
PleuralEffusion_166290863635755,HTA8_2001_1,SCLC-A
RU1065C_200922572412843,HTA8_2002_1,SCLC-A
RU779D_135573418204083,HTA8_2019_1,SCLC-N
RU1195A_201446673831797,HTA8_2011_1,SCLC-A
RU426B_165326957436205,HTA8_2018_1,SCLC-A
RU1066_164769505110892,HTA8_2003_1,SCLC-A
PleuralEffusion_197206037673830,HTA8_2001_1,SCLC-A
RU1144_LN_192859664759596,HTA8_2007_2,SCLC-A
RU779D_126680930346716,HTA8_2019_1,SCLC-N
RU1065C_121184472944044,HTA8_2002_1,SCLC-A
RU1065C_120769861283180,HTA8_2002_1,SCLC-A
PleuralEffusion_157004384364830,HTA8_2001_1,SCLC-A
RU779D_205932383394036,HTA8_2019_1,SCLC-N
RU1066_226883215714605,HTA8_2003_1,SCLC-A
RU1080C_162004635114403,HTA8_2004_1,SCLC-A
RU1065C_164822433577379,HTA8_2002_1,SCLC-A
RU1065C_165191485385125,HTA8_2002_1,SCLC-A
RU1145_204224148925669,HTA8_2008_1,SCLC-A
RU1195A_134602594892637,HTA8_2011_1,SCLC-A
RU1065C_201463707356516,HTA8_2002_1,SCLC-A
RU1080C_160364238165861,HTA8_2004_1,SCLC-A
PleuralEffusion_205392394739036,HTA8_2001_1,SCLC-A
RU1215_230612608109294,HTA8_2012_1,SCLC-N
PleuralEffusion_200570520058723,HTA8_2001_1,SCLC-A
PleuralEffusion_191645397739822,HTA8_2001_1,SCLC-A
RU1066_155911403452269,HTA8_2003_1,SCLC-A
